Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Gift Card,SEO Title,SEO Description,Status
dog-adult-dry-small,Adult Dry — Small Breed Chicken & Quinoa (1.5kg),<p>Smaller kibble and higher calorie density for dogs under 10kg.</p>,Homely Pets,Dry food,Dry food,"dog, adult, Dry-food",TRUE,Title,Default Title,dog-adult-dry-small,0,shopify,100,deny,manual,22.9,,TRUE,TRUE,labels/dog-adult-dry-small.png,1,FALSE,Adult Dry,Smaller kibble and higher calorie density for dogs under 10kg.,active
dog-adult-wet-salmon,Adult Wet — Salmon & Pea (12 pack),<p>High-moisture trays for picky eaters or mixed feeding.</p>,Homely Pets,Wet food,Wet food,"dog, adult, Wet-food",TRUE,Title,Default Title,dog-adult-wet-salmon,0,shopify,100,deny,manual,18.5,,TRUE,TRUE,labels/dog-adult-wet-salmon.png,1,FALSE,Adult Wet,High-moisture trays for picky eaters or mixed feeding.,active
dog-adult-wet-turkey,Adult Wet — Turkey & Cranberry (12 pack),<p>Smooth paté texture. Ideal flavour rotation for adult dogs.</p>,Homely Pets,Wet food,Wet food,"dog, adult, Wet-food",TRUE,Title,Default Title,dog-adult-wet-turkey,0,shopify,100,deny,manual,17.9,,TRUE,TRUE,labels/dog-adult-wet-turkey.png,1,FALSE,Adult Wet,Smooth paté texture. Ideal flavour rotation for adult dogs.,active
dog-adult-wet-beef,Adult Wet — Beef Stew Trays (7 pack),<p>Chunky gravy stew — perfect as a kibble topper.</p>,Homely Pets,Wet food,Wet food,"dog, adult, Wet-food",TRUE,Title,Default Title,dog-adult-wet-beef,0,shopify,100,deny,manual,16.5,,TRUE,TRUE,labels/dog-adult-wet-beef.png,1,FALSE,Adult Wet,Chunky gravy stew — perfect as a kibble topper.,active
dog-adult-wet-lamb,Adult Wet — Lamb & Rosemary (12 pack),<p>Rich lamb paté with rosemary for sensitive adult dogs.</p>,Homely Pets,Wet food,Wet food,"dog, adult, Wet-food",TRUE,Title,Default Title,dog-adult-wet-lamb,0,shopify,100,deny,manual,18.9,,TRUE,TRUE,labels/dog-adult-wet-lamb.png,1,FALSE,Adult Wet,Rich lamb paté with rosemary for sensitive adult dogs.,active
dog-senior-dry-joint,Senior Dry — Turkey & Joint Care (2kg),<p>Lower fat with green-lipped mussel and turmeric for dogs 7+ years.</p>,Homely Pets,Dry food,Dry food,"dog, senior, Dry-food",TRUE,Title,Default Title,dog-senior-dry-joint,0,shopify,100,deny,manual,28.5,,TRUE,TRUE,labels/dog-senior-dry-joint.png,1,FALSE,Senior Dry,Lower fat with green-lipped mussel and turmeric for dogs 7+ years.,active
dog-senior-dry-light,Senior Dry — Light Turkey & Pumpkin (2kg),<p>Reduced calories for less active seniors while maintaining muscle mass.</p>,Homely Pets,Dry food,Dry food,"dog, senior, Dry-food",TRUE,Title,Default Title,dog-senior-dry-light,0,shopify,100,deny,manual,27.5,,TRUE,TRUE,labels/dog-senior-dry-light.png,1,FALSE,Senior Dry,Reduced calories for less active seniors while maintaining muscle mass.,active
dog-senior-wet-turkey,Senior Wet — Turkey & Rice (12 pack),<p>Soft texture with joint-support nutrients for mature dogs.</p>,Homely Pets,Wet food,Wet food,"dog, senior, Wet-food",TRUE,Title,Default Title,dog-senior-wet-turkey,0,shopify,100,deny,manual,17.5,,TRUE,TRUE,labels/dog-senior-wet-turkey.png,1,FALSE,Senior Wet,Soft texture with joint-support nutrients for mature dogs.,active
dog-senior-wet-fish,Senior Wet — White Fish & Sweet Potato (12 pack),"<p>Light, digestible fish recipe for seniors with sensitive digestion.</p>",Homely Pets,Wet food,Wet food,"dog, senior, Wet-food",TRUE,Title,Default Title,dog-senior-wet-fish,0,shopify,100,deny,manual,18.9,,TRUE,TRUE,labels/dog-senior-wet-fish.png,1,FALSE,Senior Wet,"Light, digestible fish recipe for seniors with sensitive digestion.",active
dog-comp-dry-bulk,Competition Dry — High-Calorie Bulk (4kg),"<p>520 kcal/cup formula for muscle gain, show dogs, and working breeds in heavy training.</p>",Homely Pets,Dry food,Dry food,"dog, competition, Dry-food",TRUE,Title,Default Title,dog-comp-dry-bulk,0,shopify,100,deny,manual,44.9,,TRUE,TRUE,labels/dog-comp-dry-bulk.png,1,FALSE,Competition Dry,"520 kcal/cup formula for muscle gain, show dogs, and working breeds in heavy training.",active
dog-comp-dry-power,Competition Dry — Power Protein 38% (3kg),<p>Very high animal protein with added creatine support for competition conditioning.</p>,Homely Pets,Dry food,Dry food,"dog, competition, Dry-food",TRUE,Title,Default Title,dog-comp-dry-power,0,shopify,100,deny,manual,39.9,,TRUE,TRUE,labels/dog-comp-dry-power.png,1,FALSE,Competition Dry,Very high animal protein with added creatine support for competition conditioning.,active
dog-comp-wet-recovery,Competition Wet — Post-Workout Recovery (12 pack),"<p>Electrolytes, BCAAs, and high protein for dogs after intense training or trials.</p>",Homely Pets,Wet food,Wet food,"dog, competition, Wet-food",TRUE,Title,Default Title,dog-comp-wet-recovery,0,shopify,100,deny,manual,24.5,,TRUE,TRUE,labels/dog-comp-wet-recovery.png,1,FALSE,Competition Wet,"Electrolytes, BCAAs, and high protein for dogs after intense training or trials.",active
dog-comp-wet-mass,Competition Wet — Muscle Mass Booster (8 pack),<p>Calorie-dense gravy trays to add lean mass between show or sport seasons.</p>,Homely Pets,Wet food,Wet food,"dog, competition, Wet-food",TRUE,Title,Default Title,dog-comp-wet-mass,0,shopify,100,deny,manual,22.9,,TRUE,TRUE,labels/dog-comp-wet-mass.png,1,FALSE,Competition Wet,Calorie-dense gravy trays to add lean mass between show or sport seasons.,active
dog-comp-supp-gainer,Competition Supplement — Calorie Gainer Powder,<p>Mix into wet or dry food for competition dogs needing extra daily calories.</p>,Homely Pets,Supplement,Supplement,"dog, competition, Supplement",TRUE,Title,Default Title,dog-comp-supp-gainer,0,shopify,100,deny,manual,26.9,,TRUE,TRUE,labels/dog-comp-supp-gainer.png,1,FALSE,Competition Supplement,Mix into wet or dry food for competition dogs needing extra daily calories.,active
dog-comp-supp-protein,Competition Supplement — Whey Protein Topper,<p>Palatable protein powder for bulking phases. Vet-advised for sport dogs only.</p>,Homely Pets,Supplement,Supplement,"dog, competition, Supplement",TRUE,Title,Default Title,dog-comp-supp-protein,0,shopify,100,deny,manual,29.5,,TRUE,TRUE,labels/dog-comp-supp-protein.png,1,FALSE,Competition Supplement,Palatable protein powder for bulking phases. Vet-advised for sport dogs only.,active
dog-snack-training,Training Bites — Chicken,<p>Low-calorie rewards for recall and obedience training.</p>,Homely Pets,Snacks,Snacks,"dog, snacks, Snacks",TRUE,Title,Default Title,dog-snack-training,0,shopify,100,deny,manual,6.5,,TRUE,TRUE,labels/dog-snack-training.png,1,FALSE,Training Bites,Low-calorie rewards for recall and obedience training.,active
dog-snack-jerky,Air-Dried Beef Jerky Strips,<p>Single-protein strips. High-value reward for sport and show dogs.</p>,Homely Pets,Snacks,Snacks,"dog, snacks, Snacks",TRUE,Title,Default Title,dog-snack-jerky,0,shopify,100,deny,manual,9.5,,TRUE,TRUE,labels/dog-snack-jerky.png,1,FALSE,Air-Dried Beef Jerky Strips,Single-protein strips. High-value reward for sport and show dogs.,active
dog-snack-dental,Dental Sticks — Mint & Parsley,<p>Daily chew that helps reduce plaque between brushings.</p>,Homely Pets,Snacks,Snacks,"dog, snacks, Snacks",TRUE,Title,Default Title,dog-snack-dental,0,shopify,100,deny,manual,8.9,,TRUE,TRUE,labels/dog-snack-dental.png,1,FALSE,Dental Sticks,Daily chew that helps reduce plaque between brushings.,active
dog-snack-puppy-biscuit,Puppy Biscuits — Oat & Carrot,<p>Gentle baked biscuits with calcium for growing teeth.</p>,Homely Pets,Snacks,Snacks,"dog, snacks, Snacks",TRUE,Title,Default Title,dog-snack-puppy-biscuit,0,shopify,100,deny,manual,7.5,,TRUE,TRUE,labels/dog-snack-puppy-biscuit.png,1,FALSE,Puppy Biscuits,Gentle baked biscuits with calcium for growing teeth.,active
dog-snack-lick,Lickable Purée — Peanut & Banana (6 pack),<p>Spread on mats for calm enrichment. No xylitol.</p>,Homely Pets,Snacks,Snacks,"dog, snacks, Snacks",TRUE,Title,Default Title,dog-snack-lick,0,shopify,100,deny,manual,8.9,,TRUE,TRUE,labels/dog-snack-lick.png,1,FALSE,Lickable Purée,Spread on mats for calm enrichment. No xylitol.,active
dog-snack-salmon,Freeze-Dried Salmon Cubes,<p>Single-ingredient omega-rich snack. Break into smaller pieces.</p>,Homely Pets,Snacks,Snacks,"dog, snacks, Snacks",TRUE,Title,Default Title,dog-snack-salmon,0,shopify,100,deny,manual,7.9,,TRUE,TRUE,labels/dog-snack-salmon.png,1,FALSE,Freeze-Dried Salmon Cubes,Single-ingredient omega-rich snack. Break into smaller pieces.,active
dog-chew-rubber,Natural Rubber Chew Ring,<p>Durable rubber ring for power chewers. Dishwasher safe.</p>,Homely Pets,Chew toy,Chew toy,"dog, chews, Chew-toy",TRUE,Title,Default Title,dog-chew-rubber,0,shopify,100,deny,manual,12.5,,TRUE,TRUE,labels/dog-chew-rubber.png,1,FALSE,Natural Rubber Chew Ring,Durable rubber ring for power chewers. Dishwasher safe.,active
dog-chew-rope,Cotton Rope Tug — Medium,<p>Natural cotton rope for interactive tug and gentle flossing.</p>,Homely Pets,Chew toy,Chew toy,"dog, chews, Chew-toy",TRUE,Title,Default Title,dog-chew-rope,0,shopify,100,deny,manual,11.9,,TRUE,TRUE,labels/dog-chew-rope.png,1,FALSE,Cotton Rope Tug,Natural cotton rope for interactive tug and gentle flossing.,active
dog-chew-antler,Split Elk Antler Chew,"<p>Long-lasting natural chew. Low odour, rich in minerals.</p>",Homely Pets,Chew toy,Chew toy,"dog, chews, Chew-toy",TRUE,Title,Default Title,dog-chew-antler,0,shopify,100,deny,manual,18.9,,TRUE,TRUE,labels/dog-chew-antler.png,1,FALSE,Split Elk Antler Chew,"Long-lasting natural chew. Low odour, rich in minerals.",active
dog-chew-bully,Odour-Reduced Bully Sticks (6 pack),<p>High-protein long chew for anxious dogs and crate time.</p>,Homely Pets,Chew toy,Chew toy,"dog, chews, Chew-toy",TRUE,Title,Default Title,dog-chew-bully,0,shopify,100,deny,manual,14.5,,TRUE,TRUE,labels/dog-chew-bully.png,1,FALSE,Odour-Reduced Bully Sticks (6 pack),High-protein long chew for anxious dogs and crate time.,active
dog-chew-dental-bone,Enriched Dental Chew Bone — Large,<p>Ridged edible chew with enzymes for daily dental care.</p>,Homely Pets,Chew toy,Chew toy,"dog, chews, Chew-toy",TRUE,Title,Default Title,dog-chew-dental-bone,0,shopify,100,deny,manual,5.5,,TRUE,TRUE,labels/dog-chew-dental-bone.png,1,FALSE,Enriched Dental Chew Bone,Ridged edible chew with enzymes for daily dental care.,active
dog-chew-kong,Stuffable Heavy-Duty Chew Cone,<p>Fill with snacks or purée for mental stimulation and slow chewing.</p>,Homely Pets,Chew toy,Chew toy,"dog, chews, Chew-toy",TRUE,Title,Default Title,dog-chew-kong,0,shopify,100,deny,manual,15.9,,TRUE,TRUE,labels/dog-chew-kong.png,1,FALSE,Stuffable Heavy-Duty Chew Cone,Fill with snacks or purée for mental stimulation and slow chewing.,active
cat-kitten-dry-turkey,Kitten Dry — Turkey & Rice (1kg),<p>Extra protein and calcium for growth up to 12 months.</p>,Homely Pets,Dry food,Dry food,"cat, kitten, Dry-food",TRUE,Title,Default Title,cat-kitten-dry-turkey,0,shopify,100,deny,manual,14.9,,TRUE,TRUE,labels/cat-kitten-dry-turkey.png,1,FALSE,Kitten Dry,Extra protein and calcium for growth up to 12 months.,active
cat-kitten-dry-chicken,Kitten Dry — Chicken & Fish (1kg),<p>DHA-enriched kibble for brain and vision development.</p>,Homely Pets,Dry food,Dry food,"cat, kitten, Dry-food",TRUE,Title,Default Title,cat-kitten-dry-chicken,0,shopify,100,deny,manual,15.5,,TRUE,TRUE,labels/cat-kitten-dry-chicken.png,1,FALSE,Kitten Dry,DHA-enriched kibble for brain and vision development.,active
cat-kitten-wet-pate,Kitten Wet — Turkey & Liver Paté (10 pack),<p>Silky paté with extra calories for fast-growing kittens.</p>,Homely Pets,Wet food,Wet food,"cat, kitten, Wet-food",TRUE,Title,Default Title,cat-kitten-wet-pate,0,shopify,100,deny,manual,14.5,,TRUE,TRUE,labels/cat-kitten-wet-pate.png,1,FALSE,Kitten Wet,Silky paté with extra calories for fast-growing kittens.,active
cat-kitten-wet-chicken,Kitten Wet — Chicken Broth Shreds (12 pack),<p>Hydrating shreds for kittens learning to eat wet food.</p>,Homely Pets,Wet food,Wet food,"cat, kitten, Wet-food",TRUE,Title,Default Title,cat-kitten-wet-chicken,0,shopify,100,deny,manual,15.9,,TRUE,TRUE,labels/cat-kitten-wet-chicken.png,1,FALSE,Kitten Wet,Hydrating shreds for kittens learning to eat wet food.,active
cat-adult-dry-fish,Adult Dry — Chicken & White Fish (1.5kg),"<p>High protein, taurine-fortified crunchy kibble for dental health.</p>",Homely Pets,Dry food,Dry food,"cat, adult, Dry-food",TRUE,Title,Default Title,cat-adult-dry-fish,0,shopify,100,deny,manual,19.9,,TRUE,TRUE,labels/cat-adult-dry-fish.png,1,FALSE,Adult Dry,"High protein, taurine-fortified crunchy kibble for dental health.",active
cat-adult-dry-indoor,Adult Dry — Indoor Hairball Care (1.5kg),<p>Fibre blend to reduce hairballs. Lower calorie for indoor cats.</p>,Homely Pets,Dry food,Dry food,"cat, adult, Dry-food",TRUE,Title,Default Title,cat-adult-dry-indoor,0,shopify,100,deny,manual,21.5,,TRUE,TRUE,labels/cat-adult-dry-indoor.png,1,FALSE,Adult Dry,Fibre blend to reduce hairballs. Lower calorie for indoor cats.,active
cat-adult-dry-salmon,Adult Dry — Salmon & Sweet Potato (1.5kg),<p>Omega-rich salmon for coat shine and skin comfort.</p>,Homely Pets,Dry food,Dry food,"cat, adult, Dry-food",TRUE,Title,Default Title,cat-adult-dry-salmon,0,shopify,100,deny,manual,20.9,,TRUE,TRUE,labels/cat-adult-dry-salmon.png,1,FALSE,Adult Dry,Omega-rich salmon for coat shine and skin comfort.,active
cat-adult-dry-urinary,Adult Dry — Urinary Care Chicken & Cranberry (1.5kg),<p>Controlled minerals and cranberry for urinary tract support.</p>,Homely Pets,Dry food,Dry food,"cat, adult, Dry-food",TRUE,Title,Default Title,cat-adult-dry-urinary,0,shopify,100,deny,manual,23.9,,TRUE,TRUE,labels/cat-adult-dry-urinary.png,1,FALSE,Adult Dry,Controlled minerals and cranberry for urinary tract support.,active
cat-adult-wet-tuna,Adult Wet — Tuna & Sole (12 pack),<p>Seafood in silky gravy. 100% complete for adult cats.</p>,Homely Pets,Wet food,Wet food,"cat, adult, Wet-food",TRUE,Title,Default Title,cat-adult-wet-tuna,0,shopify,100,deny,manual,16.9,,TRUE,TRUE,labels/cat-adult-wet-tuna.png,1,FALSE,Adult Wet,Seafood in silky gravy. 100% complete for adult cats.,active
cat-adult-wet-chicken,Adult Wet — Chicken Broth Pouches (12 pack),<p>Hydration boost for cats that drink little water.</p>,Homely Pets,Wet food,Wet food,"cat, adult, Wet-food",TRUE,Title,Default Title,cat-adult-wet-chicken,0,shopify,100,deny,manual,15.5,,TRUE,TRUE,labels/cat-adult-wet-chicken.png,1,FALSE,Adult Wet,Hydration boost for cats that drink little water.,active
cat-adult-wet-duck,Adult Wet — Duck & Green Bean (12 pack),<p>Novel protein for cats with common poultry sensitivities.</p>,Homely Pets,Wet food,Wet food,"cat, adult, Wet-food",TRUE,Title,Default Title,cat-adult-wet-duck,0,shopify,100,deny,manual,17.9,,TRUE,TRUE,labels/cat-adult-wet-duck.png,1,FALSE,Adult Wet,Novel protein for cats with common poultry sensitivities.,active
cat-adult-wet-multipack,Adult Wet — Variety Multipack (24 pack),"<p>Chicken, tuna, and duck rotation box for fussy adult cats.</p>",Homely Pets,Wet food,Wet food,"cat, adult, Wet-food",TRUE,Title,Default Title,cat-adult-wet-multipack,0,shopify,100,deny,manual,28.9,,TRUE,TRUE,labels/cat-adult-wet-multipack.png,1,FALSE,Adult Wet,"Chicken, tuna, and duck rotation box for fussy adult cats.",active
cat-senior-dry-care,Senior Dry — Chicken & Joint Care (1.5kg),<p>Lower phosphorus and added glucosamine for cats 7+ years.</p>,Homely Pets,Dry food,Dry food,"cat, senior, Dry-food",TRUE,Title,Default Title,cat-senior-dry-care,0,shopify,100,deny,manual,22.5,,TRUE,TRUE,labels/cat-senior-dry-care.png,1,FALSE,Senior Dry,Lower phosphorus and added glucosamine for cats 7+ years.,active
cat-senior-wet-salmon,Senior Wet — Turkey & Salmon (12 pack),<p>Kidney-gentle with taurine and joint nutrients for mature cats.</p>,Homely Pets,Wet food,Wet food,"cat, senior, Wet-food",TRUE,Title,Default Title,cat-senior-wet-salmon,0,shopify,100,deny,manual,17.5,,TRUE,TRUE,labels/cat-senior-wet-salmon.png,1,FALSE,Senior Wet,Kidney-gentle with taurine and joint nutrients for mature cats.,active
cat-senior-wet-pate,Senior Wet — Soft Chicken Paté (12 pack),<p>Ultra-soft texture for seniors with fewer teeth.</p>,Homely Pets,Wet food,Wet food,"cat, senior, Wet-food",TRUE,Title,Default Title,cat-senior-wet-pate,0,shopify,100,deny,manual,16.9,,TRUE,TRUE,labels/cat-senior-wet-pate.png,1,FALSE,Senior Wet,Ultra-soft texture for seniors with fewer teeth.,active
cat-snack-tuna,Crunchy Treats — Tuna,<p>Air-dried bites. Under 2 kcal per treat.</p>,Homely Pets,Snacks,Snacks,"cat, snacks, Snacks",TRUE,Title,Default Title,cat-snack-tuna,0,shopify,100,deny,manual,4.9,,TRUE,TRUE,labels/cat-snack-tuna.png,1,FALSE,Crunchy Treats,Air-dried bites. Under 2 kcal per treat.,active
cat-snack-dental,Dental Crunchies — Chicken,<p>Crunchy texture helps reduce tartar build-up.</p>,Homely Pets,Snacks,Snacks,"cat, snacks, Snacks",TRUE,Title,Default Title,cat-snack-dental,0,shopify,100,deny,manual,5.9,,TRUE,TRUE,labels/cat-snack-dental.png,1,FALSE,Dental Crunchies,Crunchy texture helps reduce tartar build-up.,active
cat-snack-salmon,Freeze-Dried Salmon Cubes,<p>Single-ingredient omega snack. Break into smaller pieces.</p>,Homely Pets,Snacks,Snacks,"cat, snacks, Snacks",TRUE,Title,Default Title,cat-snack-salmon,0,shopify,100,deny,manual,7.9,,TRUE,TRUE,labels/cat-snack-salmon.png,1,FALSE,Freeze-Dried Salmon Cubes,Single-ingredient omega snack. Break into smaller pieces.,active
cat-snack-lick,Lickable Treat — Tuna & Anchovy (6 pack),<p>Squeeze tubes for lick mats and bonding time.</p>,Homely Pets,Snacks,Snacks,"cat, snacks, Snacks",TRUE,Title,Default Title,cat-snack-lick,0,shopify,100,deny,manual,7.5,,TRUE,TRUE,labels/cat-snack-lick.png,1,FALSE,Lickable Treat,Squeeze tubes for lick mats and bonding time.,active
cat-snack-bonito,Bonito Flakes — Sprinkle Topper,<p>Umami-rich flakes to tempt picky eaters onto meals.</p>,Homely Pets,Snacks,Snacks,"cat, snacks, Snacks",TRUE,Title,Default Title,cat-snack-bonito,0,shopify,100,deny,manual,6.9,,TRUE,TRUE,labels/cat-snack-bonito.png,1,FALSE,Bonito Flakes,Umami-rich flakes to tempt picky eaters onto meals.,active
cat-snack-kitten,Kitten Soft Treats — Chicken & Milk,<p>Soft morsels sized for kittens under 12 months.</p>,Homely Pets,Snacks,Snacks,"cat, snacks, Snacks",TRUE,Title,Default Title,cat-snack-kitten,0,shopify,100,deny,manual,5.5,,TRUE,TRUE,labels/cat-snack-kitten.png,1,FALSE,Kitten Soft Treats,Soft morsels sized for kittens under 12 months.,active
cat-toy-wand,Feather Wand Teaser,<p>Replaceable feather head for daily hunting play.</p>,Homely Pets,Toy,Toy,"cat, toys, Toy",TRUE,Title,Default Title,cat-toy-wand,0,shopify,100,deny,manual,9.9,,TRUE,TRUE,labels/cat-toy-wand.png,1,FALSE,Feather Wand Teaser,Replaceable feather head for daily hunting play.,active
cat-toy-mice,Catnip Mice — 2 Pack,<p>Organic catnip-filled mice with crinkle tails.</p>,Homely Pets,Toy,Toy,"cat, toys, Toy",TRUE,Title,Default Title,cat-toy-mice,0,shopify,100,deny,manual,7.5,,TRUE,TRUE,labels/cat-toy-mice.png,1,FALSE,Catnip Mice,Organic catnip-filled mice with crinkle tails.,active
cat-toy-scratch,Cardboard Scratch Lounge,<p>Corrugated lounge scratcher with catnip sprinkle included.</p>,Homely Pets,Toy,Toy,"cat, toys, Toy",TRUE,Title,Default Title,cat-toy-scratch,0,shopify,100,deny,manual,18.9,,TRUE,TRUE,labels/cat-toy-scratch.png,1,FALSE,Cardboard Scratch Lounge,Corrugated lounge scratcher with catnip sprinkle included.,active
cat-toy-tunnel,Collapsible Play Tunnel,<p>Crinkle tunnel for chase games and shy cat confidence building.</p>,Homely Pets,Toy,Toy,"cat, toys, Toy",TRUE,Title,Default Title,cat-toy-tunnel,0,shopify,100,deny,manual,16.5,,TRUE,TRUE,labels/cat-toy-tunnel.png,1,FALSE,Collapsible Play Tunnel,Crinkle tunnel for chase games and shy cat confidence building.,active
cat-toy-ball-track,Turntable Ball Track Toy,<p>Spinning balls on three levels for solo indoor enrichment.</p>,Homely Pets,Toy,Toy,"cat, toys, Toy",TRUE,Title,Default Title,cat-toy-ball-track,0,shopify,100,deny,manual,14.9,,TRUE,TRUE,labels/cat-toy-ball-track.png,1,FALSE,Turntable Ball Track Toy,Spinning balls on three levels for solo indoor enrichment.,active
cat-toy-puzzle,Puzzle Feeder — Slow Eat Maze,<p>Slows eating and adds mental stimulation at mealtimes.</p>,Homely Pets,Toy,Toy,"cat, toys, Toy",TRUE,Title,Default Title,cat-toy-puzzle,0,shopify,100,deny,manual,13.9,,TRUE,TRUE,labels/cat-toy-puzzle.png,1,FALSE,Puzzle Feeder,Slows eating and adds mental stimulation at mealtimes.,active
